Title,Date_Added,Age,Netflix,Hulu,Prime Video,Disney+,Original Network,Netflix Exclusive Regions,Original,Type,Genre,Rating
Ishq Garaari,-,-,0,0,1,0,-,-,False,movie,"Comedy,Romance",6.6
Kardec,2019,-,1,0,0,0,Netflix,Selected territories,True,movie,Biography,6.2
LEGO Friends: The Power of Friendship,2016,-,-,-,-,-,-,-,False,-,-,-
La Coppia dei Campioni,2017,-,-,-,-,-,-,-,False,-,-,-
Learning with Vehicles,-,-,0,0,1,0,-,-,False,-,-,-
Legacies,2019,16+,1,0,0,0,-,-,False,tvSeries,"Adventure,Drama,Fantasy",7.5
Lego Friends: Girls on a Mission,2019,-,-,-,-,-,-,-,False,tvSeries,Animation,6.6
Life with Murder,-,-,0,0,1,0,-,-,False,movie,Documentary,6.9
Live at Ronnie Scott's,-,-,0,0,1,0,-,-,False,-,-,-
Loving Pablo,-,18+,0,0,1,0,-,-,False,movie,"Action,Biography,Crime",6.3
Lucknow Central,2017,-,1,0,0,0,-,-,False,movie,"Action,Drama,Music",6.2
Man Among Cheetahs,-,-,0,0,0,1,-,-,False,-,-,-
Midnight Diner: Tokyo Stories,2019,16+,1,0,0,0,-,-,False,-,-,-
Mo Amer: The Vagabond,2018,-,1,0,0,0,-,-,False,-,-,-
Monos,-,18+,0,1,0,0,-,-,False,movie,"Drama,Thriller",7.5
Monster Musume: Everyday Life with Monster Girls,-,18+,0,1,0,0,-,-,False,-,-,-
Mu Guiying Takes Command,-,-,0,0,1,0,-,-,False,-,-,-
My Prom Makeover,-,-,0,0,1,0,-,-,False,-,-,-
Next Enti?,2019,-,1,0,0,0,-,-,False,movie,"Comedy,Drama,Romance",4.8
Nightstick,-,18+,0,0,1,0,-,-,False,-,-,-
Ninaitthathai Mudippavan,-,-,0,0,1,0,-,-,False,-,-,-
One Perfect Day,-,-,0,0,1,0,-,-,False,movie,Drama,6.1
Operation Shadow,-,-,0,0,1,0,-,-,False,tvSeries,Thriller,-
Outside Sales,-,-,0,0,1,0,-,-,False,movie,Comedy,5.2
Pareeth Pandaari,2018,-,-,-,-,-,-,-,False,-,-,-
Peyote,-,-,0,0,1,0,-,-,False,movie,"Comedy,Drama,Romance",5.9
Pinkfong! Baby Shark Special,-,-,0,0,1,0,-,-,False,tvSeries,Family,-
Pop Trigger,-,-,0,1,0,0,-,-,False,tvSeries,Talk-Show,5.8
Q Planes,-,-,0,0,1,0,-,-,False,movie,"Comedy,Drama,Mystery",6.6
Rebelde,2017,-,-,-,-,-,-,-,False,movie,"Action,Drama",4.8
Rebelde,2017,-,-,-,-,-,-,-,False,tvSeries,"Drama,Music,Romance",2.8
Rebelde,2017,-,-,-,-,-,-,-,False,tvSeries,"Drama,Romance",6.4
Rebelde,2017,-,-,-,-,-,-,-,False,tvSeries,"Drama,Romance",-
Rebelde,2017,-,-,-,-,-,-,-,False,movie,Drama,-
Rebelde,2017,-,-,-,-,-,-,-,False,tvSeries,"Comedy,Drama,Family",6.7
Red Without Blue,-,-,0,0,1,0,-,-,False,movie,Documentary,6.6
Rescue Mediums,-,-,1,0,0,0,-,-,False,tvSeries,"Documentary,Mystery",5.1
Reuniting the Rubins,-,7+,0,0,1,0,-,-,False,movie,"Comedy,Drama,Family",5.1
Rodney Carrington: Here Comes the Truth,2017,-,-,-,-,-,-,-,False,-,-,-
Samurai Harem,-,18+,0,1,0,0,-,-,False,-,-,-
San Andreas Quake,-,13+,0,0,1,0,-,-,False,-,-,-
Seven Psychopaths,-,18+,0,0,1,0,-,-,False,movie,"Comedy,Crime",7.2
Slugterra: Ghoul from Beyond,-,-,0,0,1,0,-,-,False,-,-,-
Sneaky Pete,-,18+,0,0,1,0,-,-,False,tvSeries,"Crime,Drama",8.2
Spawn of the Slithis,-,7+,0,0,1,0,-,-,False,movie,"Horror,Sci-Fi",3.8
